Nom;Code(s) UIC
Écommoy;87396564
Écouché;87444547
Écouen - Ézanville;87276394
Ecully - Tassin;87721506
Égletons;87594168
Égly;87545475
Éguzon-Chantôme;87597153
Eichhoffen;87214239
Einvaux;87141200
Elbeuf - Saint-Aubin;87411173
Elne;87784207
Éloyes;87144436
Embrun;87763466
Émerainville - Pontault-Combault;87116046
Enghien-les-Bains;87276022
Ennevelin;87287276
Entraigues-sur-la-Sorgue;87765826
Entzheim Aéroport;87214528
Épanvilliers;87575357
Épernay;87171553
Épernon;87394114
Epfig;87214221
Épierre - Saint-Léger;87741280
Épinal;87144006
Épinay - Villetaneuse;87271122
Épinay - Villetaneuse T11;87697300
Épinay-sur-Orge;87545228
Épinay-sur-Seine;87271148
Épinay-sur-Seine T11;87697292
Épluches;87276147
Épône - Mézières;87386763
Épouville;87413732
Éragny - Neuville;87381418
Erdre Active;87590356
Ermont - Eaubonne;87534131
Ermont Halte;87276584
Err;87784843
Erstein;87214148
Esbly;87116327
Escalquens;87611707
Escaudœuvres;87345496
Esches;87272096
Esquelbecq;87281113
Essonnes Robinson;87681601
Estavar;87784827
Estrées-Saint-Denis;87313387
Estressin;87722579
Esvres sur Indre;87571422
Étain;87175794
Étainhus - Saint-Romain;87413328
Étalans;87718536
Étampes;87545137
Étang-sur-Arroux;87694141
Étaples - Le Touquet;87317065
Étigny - Véron;87683201
Étival-Clairefontaine;87144642
Étréchy;87545145
Étriché - Châteauneuf;87484154
Eu;87317537
Évian-les-Bains;87745679
Évreux Normandie;87387001
Évron;87478552
Évry Val de Seine;87681361
Évry-Courcouronnes;87681387
Eymoutiers Vassivière;87592121
Èze;87756387
Farbus;87342527
Farébersviller;87193516
Faremoutiers - Pommeuse;87116277
Farschviller;87193524
Faubourg d'Orléans;87576173
Faulquemont;87193359
Fécamp;87413542
Fegersheim - Lipsheim;87212266
Fellering;87182626
Felletin;87597849
Fenouillet - Saint-Alban;87611962
Fépin;87172874
Ferrières - Fontenay;87684241
Feuquières - Broquiers;87313742
Feuquières - Fressenneville;87317503
Feurs;87726877
Feyzin;87722538
Figeac;87613091
Firminy;87726729
Fismes;87171330
Flavy-le-Martel;87296871
Flaxlanden;87181040
Flers;87448001
Fleurieux-sur-l'Arbresle;87721563
Fleurville - Pont-de-Vaux;87725663
Flez-Cuzy - Tannay;87696633
Foëcy;87576108
Foix;87611616
Folligny;87447649
Fons - Saint-Mamert;87775379
Font-Romeu-Odeillo-Via;87784819
Fontaine-le-Port;87682427
Fontainebleau - Avon;87682211
Fontaines - Mercurey;87713586
Fontan - Saorge;87756858
Fontenay-le-Fleury;87393405
Fontenoy-sur-Moselle;87141051
Fontpédrouse;87784769
Forbach;87193003
Formerie;87313833
Fors;87485326
Fos-sur-Mer;87753442
Foucart - Alvimare;87413377
Fouday;87214734
Foug;87141036
Fougeray - Langon;87471201
Fougeré;87486316
Fouilloy;87313841
Fouquereuil;87342204
Fourchambault;87696229
Fourmies;87295048
Fraisses - Unieux;87726737
Franchet d'Esperey;87417444
Francheville;87722702
Franconville - Le Plessis-Bouchard;87276071
Franois;87718304
Frasne;87715136
Freinville Sevran;87113894
Fréjus;87757500
Fréjus - Saint-Raphael Autotrain;87757518
Frénouville - Cagny;87444182
Frépillon;87276659
Fresnoy-le-Grand;87296293
Fréteval - Morée;87574533
Fretin;87286641
Frévin-Capelle;87342212
Fromental;87592360
Froncles Buxières;87142240
Frontenex;87741629
Frontignan;87773556
Frouard;87141077
Frynaudour;87473876
Fumay;87172098
Futuroscope;87324095
Gadagne;87765446
Gagny;87113514
Gaillac;87615252
Gaillon - Aubevoye;87415620
Gallargues-le-Montueux;87775130
Gallieni Cancéropôle;87497461
Galuzot;87694638
Gambsheim;87212332
Gan;87672618
Gandrange - Amnéville;87191742
Gannat;87732404
Gannes;87313262
Gap;87763003
Garancières - La Queue;87393439
Garches - Marnes-la-Coquette;87382259
Garchizy;87691436
Gardanne;87751420
Gardonne;87584235
Gargan;87113860
Gargenville;87381566
Garges - Sarcelles;87276196
Gauriaguet;87491225
Gazeran;87393348
Gazinet Cestas;87582403
Geispolsheim;87212258
Gemeaux;87713842
Génelard;87694653
Générac;87775791
Genlis;87713313
Gennevilliers;87271205
Génolhac;87775213
Germaine;87171587
Gertwiller;87214254
Gerzat;87734046
Gestel;87476309
Gevrey-Chambertin;87713503
Gien;87684290
Gièvres;87576876
Gignac - Cressensac;87594325
Gilley;87718577
Gilly-sur-Loire;87694869
Gimont Cahuzac;87611772
Gironde-sur-Dropt;87582858
Gisors;87381244
Givet;87172130
Givors;87722405
Givors Canal;87722439
Golfe Juan Vallauris;87757641
Goncelin;87747477
Gonfaron;87755397
Gorges;87481432
Gourdon;87613141
Gourland;87473801
Gournay - Ferrières;87381293
Goussainville;87276246
Goxwiller;87214270
Graffenstaden;87212241
Graffenwald;87181131
Gragnague;87615377
Gramat;87613059
Grand Bourg;87681353
Grande-Synthe;87281311
Grandvillars;87184432
Grandvilliers;87313734
Granville;87447680
Grasse;87757724
Gravelines;87281246
Gravigny Balizy;87393645
Grenoble;87747006
Grenoble Universités - Gières;87747402
Gresswiller;87214593
Grésy-sur-Aix;87746107
Grésy-sur-Isère;87741611
Gretz-Armainvilliers;87116012
Grigny Centre;87681379
Grigny le Sablon;87722298
Grisolles;87611673
Groisy - Thorens-Glières;87746248
Gros Noyer Saint-Prix;87276592
Groslay;87276360
Gudmont;87142265
Guérard - La Celle-sur-Morin;87116269
Guéret;87597609
Guéthary;87673459
Guichen - Bourg-des-Comptes;87471151
Guignicourt;87171736
Guillerval;87545129
Guimiliau;87474296
Guingamp;87473207
Gujan-Mestras;87582619
Gundershoffen;87213223
Gunsbach - Griesbach;87182386
Habsheim;87182089
Hachette;87297523
Hagondange;87191114
Haguenau;87213058
